#Digilent WaveForms Logger
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 13:04:10.531

Time (s),C1 DC (V),C2 DC (V)
35.6,4.930739051977732,4.890393548801712
35.8,4.9302095530461,4.89024685324521
36,4.927647656092335,4.887766545975451
36.2,4.927547313587324,4.887417141179601
36.4,4.927884740808318,4.88774651330412
36.6,4.929360242793944,4.890170417907192
36.8,4.930769320182457,4.890345946895938
37,4.929031769511306,4.89028020861539
37.2,4.931099642648041,4.890980039289825
37.4,4.930155683427762,4.89086747707128
37.6,4.92938914844283,4.890377892199378
37.8,4.930968885950182,4.89100386455423
38,4.931332688359239,4.890810247813776
38.2,4.929243500956148,4.890719274202148
38.40000000000001,4.931074824666681,4.89036102002238
38.6,4.929660540368368,4.89045077805929
38.8,4.927677389007209,4.888166226941433
39,4.925960082022844,4.88967096256862
39.2,4.930227168946606,4.89128398159134
39.40000000000001,4.928383922872509,4.890627182261779
39.6,4.928355114549039,4.890435850801775
39.8,4.929983320114059,4.890528963824914
40,4.930027505853464,4.890025278286314
40.2,4.930686204276257,4.889822763538931
40.40000000000001,4.927889363765625,4.887830631074336
40.6,4.925854191969022,4.88780510400534
40.8,4.928185184370832,4.887964587407853
41,4.929310314855005,4.88968895307438
41.2,4.930779928652931,4.890448298286845
41.40000000000001,4.931905253787915,4.890741349038899
41.6,4.929258099768736,4.890286043373989
41.8,4.929567983896708,4.890686113323937
42,4.929298295165964,4.890139299194502
42.2,4.929047341578035,4.889711027911198
42.40000000000001,4.930418559379268,4.889745744725067
42.6,4.929531389539894,4.88974248698484
42.8,4.928729233452312,4.890328393997055
43,4.93035359466338,4.891148177584268
43.2,4.928212630138479,4.888718584091587
43.40000000000001,4.926285440892131,4.890457293539729
43.6,4.931364221794387,4.890497456128275
43.8,4.931692597751603,4.89040093949598
44,4.927644882317899,4.89053484720652
44.2,4.930373546373898,4.891021125715135
44.40000000000001,4.928619109742906,4.890607295459429
44.6,4.930260794878252,4.888723495013414
44.8,4.927572374882219,4.887506607478566
45,4.92999602108105,4.890140223031263
45.2,4.931542862597424,4.890384310433905
45.40000000000001,4.928838432570259,4.890334569116574
45.6,4.930111303037577,4.889845130113679
45.8,4.928115791348462,4.890031550651861
46,4.929728084207794,4.889822325932037
46.2,4.929335230161751,4.890687815128537
46.40000000000001,4.929575137314872,4.890545447018
46.6,4.927200932427872,4.889975196608093
46.8,4.927847903137931,4.889956574003483
47,4.930529169715767,4.889651707865133
47.2,4.927968927294079,4.890898060931081
47.40000000000001,4.922994576564338,4.887487109660117
47.6,4.922472815003386,4.886450467543893
47.8,4.921961856563716,4.887029907698643
48,4.923558723344491,4.886681183624654
48.2,4.92194122357531,4.886000024177854
48.40000000000001,4.925696038166286,4.886677828638414
48.6,4.923385727415651,4.88668794222002
48.8,4.925228243549089,4.886835221252439
49,4.927578214407173,4.889527184391437
49.2,4.929032207475701,4.889689536550243
49.40000000000001,4.926049718731916,4.887944895097514
49.6,4.923621108936802,4.887443494839387
49.8,4.924297909887206,4.888174541472501
50,4.926180864731481,4.890334860854509
50.2,4.926450991426564,4.890649889197456
50.40000000000001,4.930380261827668,4.890662433928508
50.6,4.929686818230961,4.890837476687325
50.8,4.929195568188249,4.890853036043668
51,4.928507623477623,4.889862002290704
51.2,4.925834288921292,4.887536996846439
51.40000000000001,4.928474484173112,4.890139493686459
51.6,4.929784776263259,4.890497699243264
51.8,4.928840671054868,4.890514085190369
52,4.930550532644883,4.889980496513852
52.2,4.928545483064835,4.888564740955737
52.40000000000001,4.928670497563098,4.89030398525679
52.6,4.926123345409952,4.889975293854059
52.8,4.928944760588447,4.889813476548124
53,4.927206723290213,4.89052235109843
53.2,4.927906347050894,4.890038455116221
53.40000000000001,4.927056890810606,4.889938875235645
53.6,4.928273945151213,4.890489773696112
53.8,4.929075468623625,4.891576108506652
54,4.930113298208592,4.890622417208911
54.2,4.928354871235499,4.889574834920204
54.40000000000001,4.927519721831529,4.889489598821259
54.6,4.928057347435466,4.89038280312126
54.8,4.929737135471592,4.891227287186659
55,4.927546340333094,4.891124303696875
55.2,4.930066046718631,4.891011644232416
55.40000000000001,4.928130195510169,4.891305132591378
55.6,4.926203638879034,4.890583518818076
55.8,4.92904349722405,4.890695692052693
56,4.930377244739759,4.890883474034529
56.2,4.929023107549176,4.890781657496472
56.40000000000001,4.926599412687604,4.888539797362649
56.6,4.925995265161121,4.88755367453148
56.8,4.925678130289552,4.8878513444675
57,4.926895379281013,4.887103425657362
57.2,4.928401587435721,4.887467320103777
57.40000000000001,4.927121320236751,4.8880152039389
57.6,4.927168425738593,4.887584939113137
57.8,4.92692340900114,4.887822511035306
58,4.930467270750545,4.889579210989202
58.2,4.929588519559704,4.889581788007559
58.40000000000001,4.929676112435091,4.890516175978864
58.6,4.929981665582031,4.889873623184955
58.8,4.928109805835302,4.887411987142814
59,4.931259402320157,4.890031939635733
59.2,4.929711538886922,4.890588624231842
59.40000000000001,4.93040580974964,4.890691072868785
59.6,4.928815463771864,4.890716551314781
59.8,4.930259870286734,4.890679938204411
60,4.925774093150728,4.888030520180366
