#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 13:29:20.473.934.710
#Sample rate: 5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 10 X Sample Mode: Average

Time (s),Channel 2 (V)
-0.00020962,7.934768572394354
-0.0002096,7.957074465645434
-0.00020958,7.980973636985876
-0.00020956,8.008059364505044
-0.00020954,8.004872808326319
-0.00020952,8.039924926292301
-0.0002095,8.044704760560389
-0.00020948,8.065417375722106
-0.00020946,8.098876215598725
-0.00020944,8.092503103241274
-0.00020942,8.122775386939168
-0.0002094,8.140301445922159
-0.00020938,8.156234226815787
-0.00020936,8.175353563888141
-0.00020934,8.191286344781769
-0.00020932,8.20881240376476
-0.0002093,8.221558628479663
-0.00020928,8.247051077909468
-0.00020926,8.253424190266919
-0.00020924,8.278916639696725
-0.00020922,8.302815811037167
-0.0002092,8.302815811037167
-0.00020918,8.325121704288247
-0.00020916,8.339461207092512
-0.00020914,8.358580544164866
-0.00020912,8.372920046969131
-0.0002091,8.407972164935114
-0.00020908,8.414345277292565
-0.00020906,8.431871336275556
-0.00020904,8.449397395258547
-0.00020902,8.446210839079821
-0.000209,8.470110010420264
-0.00020898,8.484449513224529
-0.00020896,8.529061299726688
-0.00020894,8.537027690173502
-0.00020892,8.560926861513945
-0.0002089,8.570486530050122
-0.00020888,8.584826032854387
-0.00020886,8.607131926105467
-0.00020884,8.618284872731007
-0.00020882,8.637404209803361
-0.0002088,8.653336990696989
-0.00020878,8.672456327769343
-0.00020876,8.710695001914051
-0.00020874,8.718661392360865
-0.00020872,8.731407617075767
-0.0002087,8.73300089516513
-0.00020868,8.771239569309838
-0.00020866,8.776019403577926
-0.00020864,8.796732018739643
-0.00020862,8.81744463390136
-0.0002086,8.833377414794988
-0.00020858,8.842937083331165
-0.00020856,8.862056420403519
-0.00020854,8.871616088939696
-0.00020852,8.893921982190776
-0.0002085,8.908261484995041
-0.00020848,8.943313602961023
-0.00020846,8.956059827675926
-0.00020844,8.949686715318474
-0.00020842,8.981552277105731
-0.0002084,9.008638004624899
-0.00020838,9.010231282714262
-0.00020836,9.027757341697253
-0.00020834,9.042096844501518
-0.00020832,9.069182572020686
-0.0002083,9.065996015841961
-0.00020828,9.094675021450492
-0.00020826,9.115387636612208
-0.00020824,9.118574192790934
-0.00020822,9.140880086042014
-0.0002082,9.158406145025005
-0.00020818,9.174338925918633
-0.00020816,9.207797765795252
-0.00020814,9.220543990510155
-0.00020812,9.222137268599518
-0.0002081,9.254002830386774
-0.00020808,9.26834233319104
-0.00020806,9.290648226442119
-0.00020804,9.281088557905942
-0.00020802,9.31932723205065
-0.000208,9.31932723205065
-0.00020798,9.349599515748544
-0.00020796,9.354379350016632
-0.00020794,9.391024746071977
-0.00020792,9.406957526965606
-0.0002079,9.410144083144331
-0.00020788,9.438823088752862
-0.00020786,9.461128982003942
-0.00020784,9.480248319076296
-0.00020782,9.47706176289757
-0.0002078,9.502554212327375
-0.00020778,9.520080271310366
-0.00020776,9.52804666175718
-0.00020774,9.548759276918897
-0.00020772,9.574251726348702
-0.0002077,9.579031560616791
-0.00020768,9.599744175778508
-0.00020766,9.614083678582773
-0.00020764,9.642762684191304
-0.00020762,9.644355962280667
-0.0002076,9.650729074638118
-0.00020758,9.668255133621109
-0.00020756,9.682594636425375
-0.00020754,9.706493807765817
-0.00020752,9.716053476301994
-0.0002075,9.744732481910525
-0.00020748,9.762258540893516
-0.00020746,9.771818209429693
-0.00020744,9.790937546502047
-0.00020742,9.795717380770135
-0.0002074,9.816429995931852
-0.00020738,9.82120983019994
-0.00020736,9.857855226255285
-0.00020734,9.872194729059551
-0.00020732,9.870601450970188
-0.0002073,9.90565356893617
-0.00020728,9.908840125114896
-0.00020726,9.915213237472347
-0.00020724,9.940705686902152
-0.00020722,9.953451911617055
-0.0002072,9.966198136331958
-0.00020718,9.975757804868135
-0.00020716,9.993283863851126
-0.00020714,10.02196286945966
-0.00020712,10.0331158160852
-0.0002071,10.05382843124691
-0.00020708,10.04267548462137
-0.00020706,10.05701498742564
-0.00020704,10.08410071494481
-0.00020702,10.10799988628525
-0.000207,10.1143729986427
-0.00020698,10.10799988628525
-0.00020696,10.14623856042996
-0.00020694,10.14783183851932
-0.00020692,10.15420495087677
-0.0002069,10.16217134132359
-0.00020688,10.16057806323422
-0.00020686,10.17491756603849
-0.00020684,10.18925706884275
-0.00020682,10.20200329355766
-0.0002068,10.2131562401832
-0.00020678,10.2259024648981
-0.00020676,10.21634279636192
-0.00020674,10.23068229916619
-0.00020672,10.24024196770236
-0.0002067,10.24502180197045
-0.00020668,10.24183524579173
-0.00020666,10.25617474859599
-0.00020664,10.25776802668535
-0.00020662,10.26732769522153
-0.0002066,10.25776802668535
-0.00020658,10.26732769522153
-0.00020656,10.26573441713217
-0.00020654,10.27051425140026
-0.00020652,10.27370080757898
-0.0002065,10.26573441713217
-0.00020648,10.26414113904281
-0.00020646,10.26892097331089
-0.00020644,10.26892097331089
-0.00020642,10.26892097331089
-0.0002064,10.26095458286408
-0.00020638,10.27370080757898
-0.00020636,10.26732769522153
-0.00020634,10.26573441713217
-0.00020632,10.26254786095344
-0.0002063,10.26414113904281
-0.00020628,10.26732769522153
-0.00020626,10.25776802668535
-0.00020624,10.26414113904281
-0.00020622,10.25936130477472
-0.0002062,10.27210752948962
-0.00020618,10.27210752948962
-0.00020616,10.27688736375771
-0.00020614,10.27688736375771
-0.00020612,10.27848064184707
-0.0002061,10.27688736375771
-0.00020608,10.27210752948962
-0.00020606,10.27848064184707
-0.00020604,10.28804031038325
-0.00020602,10.28644703229389
-0.000206,10.28007391993643
-0.00020598,10.29122686656197
-0.00020596,10.29919325700879
-0.00020594,10.30556636936624
-0.00020592,10.30556636936624
-0.0002059,10.29282014465134
-0.00020588,10.29759997891943
-0.00020586,10.30237981318751
-0.00020584,10.29759997891943
-0.00020582,10.29282014465134
-0.0002058,10.30875292554497
-0.00020578,10.31831259408114
-0.00020576,10.30397309127688
-0.00020574,10.30397309127688
-0.00020572,10.30556636936624
-0.0002057,10.30237981318751
-0.00020568,10.29919325700879
-0.00020566,10.28963358847261
-0.00020564,10.30397309127688
-0.00020562,10.2944134227407
-0.0002056,10.28804031038325
-0.00020558,10.28485375420452
-0.00020556,10.30237981318751
-0.00020554,10.28963358847261
-0.00020552,10.27688736375771
-0.0002055,10.27370080757898
-0.00020548,10.26892097331089
-0.00020546,10.2816671980258
-0.00020544,10.26573441713217
-0.00020542,10.26414113904281
-0.0002054,10.25458147050663
-0.00020538,10.24661508005982
-0.00020536,10.26573441713217
-0.00020534,10.24820835814918
-0.00020532,10.25776802668535
-0.0002053,10.25776802668535
-0.00020528,10.25458147050663
-0.00020526,10.25617474859599
-0.00020524,10.2513949143279
-0.00020522,10.25298819241727
-0.0002052,10.24024196770236
-0.00020518,10.24342852388109
-0.00020516,10.24661508005982
-0.00020514,10.24183524579173
-0.00020512,10.2259024648981
-0.0002051,10.22430918680874
-0.00020508,10.22430918680874
-0.00020506,10.21952935254065
-0.00020504,10.20200329355766
-0.00020502,10.20200329355766
-0.000205,10.18129067839594
-0.00020498,10.17969740030658
-0.00020496,10.16854445368104
-0.00020494,10.15420495087677
-0.00020492,10.14783183851932
-0.0002049,10.12552594526824
-0.00020488,10.10959316437461
-0.00020486,10.09525366157035
-0.00020484,10.0713544902299
