#Digilent WaveForms Logger
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 12:57:46.353

Time (s),C1 DC (V),C2 DC (V)
14,6.936998192255786,7.485829796068198
14.2,6.946347904435789,7.485236109377722
14.4,6.900180911565654,7.486180270569766
14.6,6.970955273588989,7.485662144003577
14.8,6.926579992984315,7.485903362649851
15,6.911114546245587,7.485889359229126
15.2,6.929717277803904,7.484997710864817
15.4,6.950977236561906,7.486353173917077
15.6,6.93897477415121,7.487246572708991
15.8,6.932385551438544,7.487274093320544
16,6.952953039854014,7.486661297795632
16.2,6.924202430370547,7.486606402441567
16.4,6.938961343243747,7.486401651036672
16.6,6.95020491071466,7.484380150286997
16.8,6.935001950625979,7.483432536862788
17,6.95075937361591,7.485894805003871
17.2,6.902924709724037,7.487661861654371
17.4,6.97358534699758,7.486587731213975
17.6,6.950070893615449,7.485853280971632
17.8,6.932041798065414,7.486450128156275
18,6.956319672019244,7.48243095192132
18.2,6.91745140415179,7.483827793136858
18.4,6.953866925520412,7.484549601402237
18.6,6.935823571796971,7.483936854500195
18.8,6.935265167216481,7.483242372354542
19,6.952169132282209,7.482786774951684
19.2,6.915512487192966,7.483069128646272
19.4,6.961838753108184,7.482382669293638
19.6,6.924417811518552,7.48266516885727
19.8,6.941219682221616,7.482910569080556
20,6.96482849259546,7.483714598819461
20.2,6.925380943845998,7.486477308406885
20.4,6.982140689123263,7.487503107596732
20.6,6.920229996147189,7.490423161175096
20.8,6.965699019788723,7.487872107456949
21,6.973019934986873,7.487184627021633
21.2,6.927887462637422,7.486244550160634
21.4,6.930012319805652,7.487012793379968
21.6,6.955587152267324,7.48733351061257
21.8,6.978264266423507,7.484131929930424
22,6.961853011281823,7.482613579866335
22.2,6.891062347250919,7.482678686048075
22.4,6.964304833188919,7.481701752961805
22.6,6.876221535039303,7.483125531313002
22.8,6.944872986402808,7.48449830414925
23,6.882873678634179,7.48397074472322
23.2,6.917640410111925,7.484622098278066
23.4,6.91915221447822,7.482395359893665
23.6,6.878784453909982,7.481064354204629
23.8,6.933721391450911,7.482662154231851
24,6.88540749720505,7.484455370050344
24.2,6.930797735921677,7.484683800850609
24.4,6.94070799384139,7.485021147145258
24.6,6.887403544183979,7.483899560668003
24.8,6.946363963129532,7.482612753275498
25,6.875917636424425,7.482988754846172
25.2,6.946945579822212,7.480673814360435
25.4,6.904247800106364,7.483021283625474
25.6,6.898704047023892,7.481990670759854
25.8,6.964121569428494,7.488970743883588
26,6.878823481402184,7.485070693970657
26.2,6.964401331339849,7.485015701370566
26.4,6.831301037448197,7.48636396822052
26.6,7.026502587482946,7.487060832892698
26.8,6.992292168089007,7.485802810309505
27,6.942027337195321,7.480484038836075
27.2,6.911978698624217,7.479057051367584
27.4,6.869783410036719,7.478773093114326
27.6,6.903142669995316,7.482205535746243
27.8,6.847316178142469,7.481927801235528
28,6.787938330483155,7.480866896248011
28.2,6.291820897670305,7.477877603533872
28.4,7.159295381719379,7.488722426281019
28.6,7.203254888142438,7.488832411481156
28.8,7.206394022144464,7.487718799174008
29,7.192429284674572,7.48514445504427
29.2,7.219421515847993,7.485581916072485
29.4,7.21376530324633,7.486679677285355
29.6,7.210280810001331,7.485740670130158
29.8,7.21078515031257,7.48546244938956
30,7.208823751182245,7.48578073547267
30.2,7.21247593612079,7.490040595501094
30.4,7.215292095726734,7.490057467678079
30.6,7.215244065633434,7.490399530402649
30.8,7.212194373689174,7.490438866400408
31,7.211618255882868,7.490689274791529
31.2,7.217408826222789,7.489510604925685
31.4,7.213613864897263,7.489366486387588
31.6,7.213590214821034,7.489956623599804
31.8,7.213512841114375,7.489701061171893
32,7.213085144569022,7.489994549530868
32.2,7.211633584636025,7.489530734842972
32.4,7.214262879441172,7.490460795368237
32.6,7.217485713302288,7.490163563039126
32.8,7.215394141426538,7.490154373294298
33,7.210440326360043,7.490013172135511
33.2,7.211799621797591,7.489913786746867
33.4,7.209778172884806,7.489513716796926
33.6,7.215562563060827,7.490251133041528
33.8,7.210216964527685,7.486731558014153
34,7.209865522446792,7.488230361636723
34.2,7.21457393147411,7.490270582237004
34.4,7.213589874182043,7.489763784827122
34.6,7.212462748526793,7.490129332455195
34.8,7.212494817251799,7.490038990942442
35,7.211587695701771,7.490239123163339
35.2,7.215497987646592,7.489922441638863
35.4,7.210151415859195,7.486336885215939
35.6,7.208616545369355,7.487424338355265
35.8,7.209776518352795,7.486459463770095
36,7.213660581097457,7.489897984275556
36.2,7.212973755629239,7.491043104279334
36.4,7.213780631999496,7.49077762276175
36.6,7.213778539503062,7.490311182432446
36.8,7.216178924927117,7.490820605483658
37,7.217206438018012,7.490616923784543
37.2,7.210345239427229,7.49059052150171
37.4,7.211446914486345,7.490588284844317
37.6,7.215193310428369,7.489982539652686
37.8,7.211532025563247,7.487612314829042
38,7.210270834146024,7.485958695610843
38.2,7.210463587134652,7.485851968150949
38.40000000000001,7.210481300360581,7.486060123164967
38.6,7.20873766685083,7.485221668350177
38.8,7.209646978222658,7.486229088050281
39,7.216727791616817,7.488816074156989
39.2,7.211580688271773,7.488558858547464
39.40000000000001,7.211075812670778,7.489747885109914
39.6,7.214259327063436,7.488071267218098
39.8,7.213357753062335,7.485886247357898
40,7.209819341536176,7.485827608033676
40.2,7.20750791154339,7.486381278004513
40.40000000000001,7.211792419716818,7.486580437765655
40.6,7.215160025135776,7.489832780847918
40.8,7.210607434101122,7.486925077508653
41,7.215908214279584,7.489451722486518
41.2,7.214233681816014,7.489862489493932
41.40000000000001,7.215690594646963,7.490515155869468
41.6,7.214516850117036,7.490062718960836
41.8,7.216694749637701,7.490945517941272
42,7.220061625116179,7.49119757951398
42.2,7.213640191422696,7.491787473611307
42.40000000000001,7.212074420112727,7.491301389594572
42.6,7.214674030665589,7.490272867517447
42.8,7.214988294437372,7.488278887379303
43,7.210765101276716,7.486495104420717
43.2,7.207572730271111,7.485837478500303
43.40000000000001,7.214220445559365,7.485960105677463
43.6,7.208404229971983,7.486418814951612
43.8,7.21157319421481,7.488978329069816
44,7.215829478017192,7.489757026231685
44.2,7.215281633244457,7.490137160756367
44.40000000000001,7.213907933644944,7.489619617666016
44.6,7.214215238649539,7.489724400206361
44.8,7.215341196399655,7.490158943855176
45,7.208210552391838,7.488311999634524
45.2,7.214633932593905,7.486768171124495
45.40000000000001,7.211161410375095,7.488344868774739
45.6,7.209272080716124,7.48672149305552
45.8,7.211635336493508,7.487064479616866
46,7.210964277742771,7.486336787969969
46.2,7.210042946681996,7.486567115066813
46.40000000000001,7.210298474564562,7.486864687756797
46.6,7.209759486404751,7.486695382510622
46.8,7.209718366416194,7.488246212730975
47,7.216808571713027,7.490317211683038
47.2,7.215194575658851,7.49057836575456
47.40000000000001,7.213783551761998,7.490863296467618
47.6,7.214520207843874,7.490336174648565
47.8,7.214558116093827,7.490724283343285
48,7.214345898021884,7.490621688837408
48.2,7.211612659671317,7.486408117894186
48.40000000000001,7.213178528306816,7.487800923401652
48.6,7.210730161452018,7.487596804095751
48.8,7.206893009558259,7.485834658366981
49,7.210031413620064,7.485662095380606
49.2,7.212688056867381,7.485757104700253
49.40000000000001,7.211207396634737,7.48928008333684
49.6,7.216317905622764,7.489815811424902
49.8,7.211993202052048,7.487529072272603
50,7.210620670357732,7.487050670688093
50.2,7.211135667802229,7.489949038413563
50.40000000000001,7.214249837835252,7.490786083161727
50.6,7.21592617081906,7.49043648387396
50.8,7.213216582544811,7.490370551101462
51,7.214008860102529,7.487989580597282
51.2,7.213170742273417,7.488230750620575
51.40000000000001,7.208395422021642,7.487611196500299
51.6,7.212152037132874,7.48642450384131
51.8,7.211371487287865,7.486668591243899
52,7.209654715593165,7.486715220689997
52.2,7.210318864239533,7.486710552883036
52.40000000000001,7.210184263187643,7.486857394308531
52.6,7.21386924679182,7.486669709572659
52.8,7.21120720198384,7.487282602343545
53,7.209364101897882,7.486914331828184
53.2,7.211273188616682,7.486931592989088
53.40000000000001,7.215322947883959,7.490916490017069
53.6,7.21590582980678,7.49063097582827
53.8,7.214063654312414,7.490508397274075
54,7.211871496618119,7.486748867798047
54.2,7.208955383808876,7.486612383069136
54.40000000000001,7.206511737236824,7.486388765944738
54.6,7.21169451034719,7.486536774321893
54.8,7.208806427258005,7.485905453438358
55,7.209032708852773,7.486109232383479
55.2,7.213660435109391,7.487115387885863
55.40000000000001,7.212535499276046,7.489812116077784
55.6,7.211647453507966,7.490216853834621
55.8,7.2173077537772,7.490586680285626
56,7.213584813260399,7.489467719449752
56.2,7.213624181391442,7.48904688748372
56.40000000000001,7.21133289775995,7.489204960819555
56.6,7.211522147033514,7.490069866540187
56.8,7.214556461561854,7.489742585204111
57,7.215871035970203,7.489023694318185
57.2,7.210149566676335,7.489608434378649
57.40000000000001,7.211263796713873,7.490229884795558
57.6,7.212123910087358,7.489890399089352
57.8,7.211151385857113,7.48911457068381
58,7.211984102125626,7.488455437450788
58.2,7.212250092490589,7.488263911498811
58.40000000000001,7.212096269668896,7.489799619969715
58.6,7.211102090533386,7.486384973351582
58.8,7.210917172240975,7.485800233291073
59,7.211701323126355,7.487477677773672
59.2,7.211696700169002,7.489923705836568
59.40000000000001,7.211139560818922,7.48937086245651
59.6,7.213161593684228,7.489480993525647
59.8,7.212956869669415,7.48993795237218
60,7.21442078993034,7.49012641507588
