Time (s),C1 DC (V),C2 DC (V)
32.8,4.927107695,4.887715638
33,4.92691426,4.887536559
33.2,4.927539868,4.889336825
33.4,4.929843853,4.891120073
33.6,4.931268259,4.890632385
33.8,4.929308758,4.890808352
34,4.929082768,4.888861341
34.2,4.926933531,4.889394249
34.4,4.931276872,4.890938515
34.6,4.9314214,4.892708295
34.8,4.929968478,4.890370793
35,4.928101193,4.888921293
35.2,4.930745865,4.891123137
35.4,4.931510307,4.891862012
35.6,4.930739052,4.890393549
35.8,4.930209553,4.890246853
36,4.927647656,4.887766546
36.2,4.927547314,4.887417141
36.4,4.927884741,4.887746513
36.6,4.929360243,4.890170418
36.8,4.93076932,4.890345947
37,4.92903177,4.890280209
37.2,4.931099643,4.890980039
37.4,4.930155683,4.890867477
37.6,4.929389148,4.890377892
37.8,4.930968886,4.891003865
38,4.931332688,4.890810248
38.2,4.929243501,4.890719274
38.4,4.931074825,4.89036102
38.6,4.92966054,4.890450778
38.8,4.927677389,4.888166227
39,4.925960082,4.889670963
39.2,4.930227169,4.891283982
39.4,4.928383923,4.890627182
39.6,4.928355115,4.890435851
39.8,4.92998332,4.890528964
40,4.930027506,4.890025278
40.2,4.930686204,4.889822764
40.4,4.927889364,4.887830631
40.6,4.925854192,4.887805104
40.8,4.928185184,4.887964587
41,4.929310315,4.889688953
41.2,4.930779929,4.890448298
41.4,4.931905254,4.890741349
41.6,4.9292581,4.890286043
41.8,4.929567984,4.890686113
42,4.929298295,4.890139299
42.2,4.929047342,4.889711028
42.4,4.930418559,4.889745745
42.6,4.92953139,4.889742487
42.8,4.928729233,4.890328394
43,4.930353595,4.891148178
43.2,4.92821263,4.888718584
43.4,4.926285441,4.890457294
43.6,4.931364222,4.890497456
43.8,4.931692598,4.890400939
44,4.927644882,4.890534847
44.2,4.930373546,4.891021126
44.4,4.92861911,4.890607295
44.6,4.930260795,4.888723495
44.8,4.927572375,4.887506607
45,4.929996021,4.890140223
45.2,4.931542863,4.89038431
45.4,4.928838433,4.890334569
45.6,4.930111303,4.88984513
45.8,4.928115791,4.890031551
46,4.929728084,4.889822326
46.2,4.92933523,4.890687815
46.4,4.929575137,4.890545447
46.6,4.927200932,4.889975197
46.8,4.927847903,4.889956574
47,4.93052917,4.889651708
47.2,4.927968927,4.890898061
47.4,4.922994577,4.88748711
47.6,4.922472815,4.886450468
47.8,4.921961857,4.887029908
48,4.923558723,4.886681184
48.2,4.921941224,4.886000024
48.4,4.925696038,4.886677829
48.6,4.923385727,4.886687942
48.8,4.925228244,4.886835221
49,4.927578214,4.889527184
49.2,4.929032207,4.889689537
49.4,4.926049719,4.887944895
49.6,4.923621109,4.887443495
49.8,4.92429791,4.888174541
50,4.926180865,4.890334861
50.2,4.926450991,4.890649889
50.4,4.930380262,4.890662434
50.6,4.929686818,4.890837477
50.8,4.929195568,4.890853036
51,4.928507623,4.889862002
51.2,4.925834289,4.887536997
51.4,4.928474484,4.890139494
51.6,4.929784776,4.890497699
51.8,4.928840671,4.890514085
52,4.930550533,4.889980497
52.2,4.928545483,4.888564741
52.4,4.928670498,4.890303985
52.6,4.926123345,4.889975294
52.8,4.928944761,4.889813477
53,4.927206723,4.890522351
53.2,4.927906347,4.890038455
53.4,4.927056891,4.889938875
53.6,4.928273945,4.890489774
53.8,4.929075469,4.891576109
54,4.930113298,4.890622417
54.2,4.928354871,4.889574835
54.4,4.927519722,4.889489599
54.6,4.928057347,4.890382803
54.8,4.929737135,4.891227287
55,4.92754634,4.891124304
55.2,4.930066047,4.891011644
55.4,4.928130196,4.891305133
55.6,4.926203639,4.890583519
55.8,4.929043497,4.890695692
56,4.930377245,4.890883474
56.2,4.929023108,4.890781657
56.4,4.926599413,4.888539797
56.6,4.925995265,4.887553675
56.8,4.92567813,4.887851344
57,4.926895379,4.887103426
57.2,4.928401587,4.88746732
57.4,4.92712132,4.888015204
57.6,4.927168426,4.887584939
57.8,4.926923409,4.887822511
58,4.930467271,4.889579211
58.2,4.92958852,4.889581788
58.4,4.929676112,4.890516176
58.6,4.929981666,4.889873623
58.8,4.928109806,4.887411987
59,4.931259402,4.89003194
59.2,4.929711539,4.890588624
59.4,4.93040581,4.890691073
59.6,4.928815464,4.890716551
59.8,4.93025987,4.890679938
60,4.925774093,4.88803052
